S120407-v2.zip 27.10 mins
S120507-v2.zip 27.21 mins
S120607-v2.zip 25.68 mins
S120707-v2.zip 25.80 mins
S121007-v2.zip 0.0 mins(error)
S121107-v2.zip 29.63 mins
S121207-v2.zip 35.21 mins
S121407-v2.zip 26.11 mins
S121707-v2.zip 27.16 mins
S121807-v2.zip 30.58 mins
S121907-v2.zip 29.61 mins
S122007-v2.zip 27.66 mins
S122107-v2.zip 23.76 mins
S122407-v2.zip 10.21 mins
S122507-v2.zip 0.03 mins
S122607-v2.zip 17.12 mins
S122707-v2.zip 20.86 mins
S122807-v2.zip 20.25 mins
S123107-v2.zip 19.43 mins
S010107-v2.zip 0.00 mins
S010207-v2.zip 0.00 mins
S010307-v2.zip 15.34 mins
S010407-v2.zip 15.48 mins
S010507-v2.zip 16.10 mins
S010807-v2.zip 15.26 mins
S010907-v2.zip 16.95 mins
S011007-v2.zip 15.96 mins
S011107-v2.zip 15.56 mins
S011207-v2.zip 14.78 mins
S011507-v2.zip 0.01 mins
S011607-v2.zip 15.00 mins
S011707-v2.zip 14.94 mins
S011807-v2.zip 16.83 mins
S011907-v2.zip 14.45 mins
S012207-v2.zip 14.95 mins
S012307-v2.zip 15.05 mins
S012407-v2.zip 12.50 mins
S012507-v2.zip 14.00 mins
S012607-v2.zip 16.08 mins
S012907-v2.zip 16.28 mins
S013007-v2.zip 15.28 mins
S013107-v2.zip 18.68 mins
S020107-v2.zip 17.34 mins
S020207-v2.zip 15.54 mins
S020507-v2.zip 15.94 mins
S020607-v2.zip 15.72 mins
S020707-v2.zip 16.00 mins
S020807-v2.zip 17.92 mins
S020907-v2.zip 18.73 mins
S021207-v2.zip 16.33 mins
S021307-v2.zip 16.23 mins
S021407-v2.zip 21.14 mins
S021507-v2.zip 18.44 mins
S021607-v2.zip 20.70 mins
S021907-v2.zip 0.01 mins
S022007-v2.zip 16.63 mins
S022107-v2.zip 17.31 mins
S022207-v2.zip 18.47 mins
S022307-v2.zip 21.07 mins
S022607-v2.zip 18.48 mins
S022707-v2.zip 29.66 mins
S022807-v2.zip 26.70 mins
S030107-v2.zip 28.70 mins
S030207-v2.zip 25.23 mins
S030507-v2.zip 25.53 mins
S030607-v2.zip 23.00 mins
S030707-v2.zip 22.13 mins
S030807-v2.zip 22.04 mins
S030907-v2.zip 21.96 mins
S031207-v2.zip 19.14 mins
S031307-v2.zip 25.38 mins
S031407-v2.zip 32.45 mins
S031507-v2.zip 22.13 mins
S031607-v2.zip 23.77 mins
S031907-v2.zip 20.86 mins
S032007-v2.zip 19.79 mins
S032107-v2.zip 21.67 mins
S032207-v2.zip 22.11 mins
S032307-v2.zip 21.72 mins
S032607-v2.zip 21.37 mins
S032707-v2.zip 20.46 mins
S032807-v2.zip 25.25 mins
S032907-v2.zip 24.26 mins
S033007-v2.zip 23.39 mins
S040207-v2.zip 19.41 mins
S040307-v2.zip 19.23 mins
S040407-v2.zip 16.61 mins
S040507-v2.zip 13.89 mins
S040607-v2.zip 0.01 mins
S040907-v2.zip 14.84 mins
S041007-v2.zip 15.00 mins
S041107-v2.zip 19.80 mins
S041207-v2.zip 18.93 mins
S041307-v2.zip 20.62 mins
S041607-v2.zip 19.67 mins
S041707-v2.zip 21.19 mins
S041807-v2.zip 19.89 mins
S041907-v2.zip 22.63 mins
S042007-v2.zip 20.92 mins
S042307-v2.zip 18.21 mins
S042407-v2.zip 20.68 mins
S042507-v2.zip 20.72 mins
S042607-v2.zip 23.02 mins
S042707-v2.zip 21.08 mins
S043007-v2.zip 19.78 mins
S050107-v2.zip 23.68 mins
S050207-v2.zip 19.77 mins
S050307-v2.zip 20.76 mins
S050407-v2.zip 22.53 mins
S050707-v2.zip 16.18 mins
S050807-v2.zip 17.58 mins
S050907-v2.zip 19.74 mins
S051007-v2.zip 22.91 mins
S051107-v2.zip 19.71 mins
S051407-v2.zip 20.52 mins
S051507-v2.zip 22.71 mins
S051607-v2.zip 20.29 mins
S051707-v2.zip 18.64 mins
S051807-v2.zip 17.97 mins
S052107-v2.zip 17.11 mins
S052207-v2.zip 17.77 mins
S052307-v2.zip 19.38 mins
S052407-v2.zip 22.78 mins
S052507-v2.zip 16.46 mins
S052807-v2.zip 0.01 mins
S052907-v2.zip 18.30 mins
S053007-v2.zip 20.03 mins
S053107-v2.zip 19.17 mins
S060107-v2.zip 18.37 mins
S060407-v2.zip 16.41 mins
